Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Low,39,0,4,0,0,2,1,0,2,2,0,8,3,1,2,0,3,2,16,0,School,Low
Low,14,6,4,5,1,1,0,1,2,0,0,17,1,0,1,1,1,0,16,0,School,Medium
Medium,4,16,4,6,1,1,0,1,0,2,0,4,2,1,2,0,0,1,13,0,School,Medium
High,3,42,2,3,0,2,1,0,1,1,0,24,3,0,2,0,3,2,31,1,School,Low
Medium,57,16,2,6,0,0,1,1,0,1,1,26,4,0,0,1,1,0,34,1,College,Low
Low,27,58,2,0,1,0,0,1,0,1,1,10,1,0,2,0,0,2,36,1,College,Medium
Low,52,2,2,0,2,1,1,1,0,1,1,5,3,2,2,0,3,2,16,0,College,High
Medium,51,28,0,1,1,1,1,1,2,2,0,22,3,0,2,1,0,0,31,1,School,Medium
High,50,21,2,3,0,2,1,0,0,0,1,13,0,2,2,0,2,1,34,1,College,Low
High,52,37,2,0,0,2,0,0,2,1,0,2,0,0,2,0,1,0,40,1,School,Low
Medium,3,53,2,3,2,2,0,1,1,1,2,14,5,2,0,0,4,0,32,1,Higher,High
Medium,14,49,1,5,1,2,1,1,0,1,2,14,2,0,1,0,4,2,27,1,Higher,Medium
Low,16,68,1,1,1,0,0,0,2,2,2,28,4,0,1,0,0,0,31,1,Higher,Medium
Medium,43,29,1,0,2,0,1,1,2,2,0,3,4,2,0,1,0,2,31,1,School,High
High,2,22,3,3,1,2,0,0,2,2,0,7,3,1,2,0,2,1,20,0,School,Medium
Medium,9,46,0,4,2,1,0,0,0,0,1,5,3,0,0,1,1,2,27,1,College,High
Medium,46,20,4,6,1,1,1,1,1,0,1,10,6,0,2,0,0,0,38,1,College,Medium
High,41,19,2,0,2,0,1,1,2,1,0,25,5,1,1,1,4,0,31,1,School,High
High,55,22,1,0,2,0,0,1,0,2,2,0,3,0,1,0,1,0,27,1,Higher,High
High,22,67,0,0,2,0,0,1,2,0,1,14,1,2,1,1,1,1,39,1,College,High
Low,17,20,2,3,0,2,1,1,2,0,2,16,2,2,2,1,2,0,17,0,Higher,Low
Medium,0,20,3,2,0,0,1,1,0,2,1,1,2,0,2,0,0,0,13,0,College,Low
Low,34,0,4,5,0,1,1,1,2,0,2,12,0,0,0,1,1,2,17,0,Higher,Low
Low,52,14,2,6,1,0,1,1,2,2,0,11,5,2,2,0,2,0,21,1,School,Medium
Medium,57,16,4,0,2,0,1,1,0,2,2,13,3,1,2,1,4,2,34,1,Higher,High
High,30,50,2,4,1,2,0,1,1,2,2,14,3,0,1,1,2,1,44,2,Higher,Medium
High,58,62,3,4,1,0,1,0,1,1,0,10,1,2,2,1,2,0,54,3,School,Medium
Medium,43,13,0,1,2,0,1,1,1,0,1,14,3,1,0,0,2,1,22,1,College,High
High,0,58,4,2,0,1,1,1,1,1,2,12,3,0,0,1,0,0,40,1,Higher,Low
Medium,2,49,4,2,1,0,0,0,0,2,0,25,2,0,1,0,2,0,21,1,School,Medium
High,2,33,0,3,1,0,0,0,0,0,1,20,6,1,2,0,4,0,24,1,College,Medium
Low,36,5,4,1,1,0,0,1,1,0,0,25,3,0,1,1,1,2,5,0,School,Medium
High,18,48,1,6,0,1,1,0,0,1,2,5,5,0,1,1,3,2,50,2,Higher,Low
Medium,28,5,0,3,2,0,1,1,1,1,1,4,1,2,0,1,0,2,18,0,College,High
High,24,68,3,1,2,1,0,0,2,0,2,14,1,1,1,1,3,0,48,2,Higher,High
Low,32,6,2,5,1,1,0,0,2,1,2,3,4,0,1,0,2,0,17,0,Higher,Medium
Low,35,50,2,2,2,2,1,0,2,1,0,12,4,2,0,0,0,0,31,1,School,High
High,28,0,0,6,0,2,0,1,1,2,2,26,0,0,1,0,4,2,22,1,Higher,Low
Low,57,12,1,5,2,1,0,0,2,0,1,18,1,2,1,1,3,2,24,1,College,High
High,25,42,3,6,1,1,1,0,1,2,0,12,5,0,2,1,1,1,42,2,School,Medium
Medium,3,26,2,3,1,1,0,0,0,2,2,7,1,0,2,0,4,2,21,1,Higher,Medium
Medium,48,2,2,1,2,2,1,0,2,0,2,19,5,0,2,1,4,1,21,1,Higher,High
Low,13,57,1,2,1,1,0,0,2,0,0,15,5,0,2,0,3,1,32,1,School,Medium
High,49,16,4,2,0,2,0,0,2,2,0,29,2,0,0,1,1,2,32,1,School,Low
High,26,44,0,6,0,2,1,1,0,0,1,0,4,1,0,0,0,0,42,2,College,Low
Low,32,57,1,6,0,1,0,1,1,2,0,10,5,1,2,1,4,2,45,2,School,Low
High,21,55,1,6,0,1,1,1,2,2,2,16,6,1,1,1,0,1,51,3,Higher,Low
High,47,53,1,0,1,1,0,0,2,1,0,9,0,2,1,0,4,0,52,3,School,Medium
Medium,2,28,1,3,1,2,0,0,1,2,2,6,2,1,1,1,2,2,20,0,Higher,Medium
Low,22,53,4,0,2,0,1,0,2,0,0,7,5,0,2,1,4,0,26,1,School,High
High,20,26,3,6,1,0,1,1,2,2,2,23,6,0,1,1,0,1,33,1,Higher,Medium
Medium,40,44,1,6,2,0,0,0,2,2,0,20,6,1,0,0,1,2,39,1,School,High
Low,22,30,1,2,1,0,1,0,1,0,2,16,2,2,2,0,3,0,18,0,Higher,Medium
Medium,3,35,0,3,2,0,1,0,2,0,2,14,4,0,2,1,1,1,23,1,Higher,High
High,20,60,2,3,2,0,1,0,0,1,0,9,2,2,1,1,4,2,45,2,School,High
Low,36,36,4,5,0,0,1,0,1,0,0,3,4,0,2,1,0,2,27,1,School,Low
Low,42,66,1,4,2,0,0,0,2,2,2,11,1,2,1,1,2,0,44,2,Higher,High
Medium,30,35,3,1,2,2,0,1,0,0,1,21,1,2,2,1,1,0,30,1,College,High
Medium,20,4,3,4,2,2,1,1,0,0,2,16,4,2,1,1,2,0,17,0,Higher,High
Low,25,45,3,4,2,0,0,1,0,1,0,24,5,0,1,0,3,2,28,1,School,High
High,40,51,0,6,2,2,0,0,0,2,1,29,3,0,1,0,2,0,50,2,College,High
High,57,48,3,2,0,0,0,1,0,1,2,18,3,1,1,1,3,0,54,3,Higher,Low
High,34,5,0,5,2,0,0,0,2,1,0,16,0,2,1,1,2,0,16,0,School,High
Low,37,9,4,1,2,1,0,0,0,2,0,12,3,2,0,0,4,2,15,0,School,High
Low,23,22,3,6,2,0,0,1,1,0,0,16,0,0,0,0,2,2,11,0,School,High
Medium,10,16,2,6,1,0,1,0,2,2,2,26,6,2,1,0,1,1,14,0,Higher,Medium
Medium,40,43,1,4,1,0,0,1,2,1,0,15,4,2,0,0,1,2,41,2,School,Medium
Low,28,40,4,4,0,0,0,1,0,1,2,7,5,0,1,0,1,2,30,1,Higher,Low
High,46,14,2,3,2,1,1,1,0,2,0,15,4,0,1,1,3,0,31,1,School,High
High,54,43,4,2,2,0,1,0,2,1,0,21,4,0,0,1,3,0,49,2,School,High
Medium,59,57,3,4,1,0,0,0,1,0,1,21,0,0,0,1,4,2,48,2,College,Medium
Low,2,49,4,1,2,2,0,0,2,0,2,6,2,0,1,0,3,2,16,0,Higher,High
Medium,0,51,4,0,0,0,0,1,2,2,2,20,0,0,0,0,4,0,25,1,Higher,Low
High,51,69,4,6,2,0,0,1,0,2,2,19,5,2,2,0,2,0,55,3,Higher,High
High,53,67,0,0,0,0,1,1,1,0,1,29,6,0,0,1,0,0,55,3,College,Low
High,18,62,2,2,1,0,1,0,0,2,0,22,5,1,1,0,1,1,49,2,School,Medium
Medium,45,57,3,0,0,0,1,0,0,0,1,13,6,2,2,1,1,0,47,2,College,Low
Medium,48,22,1,3,0,0,1,0,0,0,0,5,2,1,0,1,4,1,31,1,School,Low
High,21,43,3,3,0,1,1,0,0,0,2,12,1,0,0,1,3,2,42,2,Higher,Low
Medium,13,43,3,1,0,0,1,1,1,0,2,26,1,0,0,1,2,0,23,1,Higher,Low
Low,48,51,0,5,0,0,0,0,0,2,1,11,2,2,0,0,4,1,41,2,College,Low
Low,56,66,0,2,0,1,0,0,0,0,0,22,6,0,0,1,1,0,53,3,School,Low
Medium,58,27,4,2,0,2,0,1,1,0,2,6,5,2,1,0,4,0,42,2,Higher,Low
Low,13,66,3,6,0,2,1,0,2,1,2,20,6,2,0,1,0,2,34,1,Higher,Low
Medium,43,17,2,0,0,0,0,0,0,1,1,2,2,0,2,0,0,1,25,1,College,Low
Medium,15,26,0,4,1,0,1,1,2,1,1,2,6,2,0,1,0,1,27,1,College,Medium
High,32,50,0,4,0,1,1,0,0,1,0,2,3,2,0,1,2,0,48,2,School,Low
Medium,12,59,2,5,0,0,0,1,0,2,2,15,2,2,1,1,0,2,38,1,Higher,Low
High,37,48,0,6,2,0,0,0,1,1,0,16,2,0,1,1,2,2,46,2,School,High
High,48,14,2,4,2,2,0,1,1,1,0,12,4,2,2,1,4,2,33,1,School,High
Medium,11,67,1,5,2,1,0,0,2,1,0,14,0,1,1,1,2,0,39,1,School,High
Low,54,14,2,6,0,0,1,1,0,2,1,1,2,2,2,1,1,2,26,1,College,Low
High,50,50,1,1,1,0,0,0,1,0,0,5,4,2,0,1,3,2,45,2,School,Medium
Low,37,47,4,2,1,0,1,0,0,1,0,17,2,0,1,0,0,2,26,1,School,Medium
High,38,0,4,0,2,0,1,1,0,0,0,5,3,2,0,0,3,1,25,1,School,High
Low,32,6,0,1,2,1,0,1,2,1,1,24,2,0,0,1,4,2,5,0,College,High
High,32,52,2,3,0,0,1,1,0,2,0,22,2,2,1,1,2,2,50,2,School,Low
Medium,28,30,0,3,1,2,0,0,1,2,2,18,4,1,1,0,2,0,27,1,Higher,Medium
Low,4,17,2,3,1,0,1,1,2,2,1,23,2,0,1,1,3,1,12,0,College,Medium
High,5,11,0,5,2,1,1,0,1,0,1,11,4,1,0,1,4,2,18,0,College,High
High,30,47,4,5,1,1,1,1,2,2,0,19,6,2,1,0,3,2,48,2,School,Medium
Medium,15,29,4,6,2,0,0,0,2,0,0,14,0,1,2,0,1,1,19,0,School,High
High,30,6,0,2,2,1,0,0,0,2,1,11,4,2,2,1,0,1,29,1,College,High
Low,24,2,2,3,0,0,0,1,2,1,2,27,5,2,1,1,0,2,15,0,Higher,Low
Medium,47,62,3,5,2,0,0,0,2,1,0,24,6,2,2,0,2,1,54,3,School,High
Medium,45,5,2,6,0,1,1,1,0,1,1,22,0,2,1,1,4,2,27,1,College,Low
Low,32,14,0,5,1,1,0,1,2,1,0,17,5,2,0,0,4,1,18,0,School,Medium
High,12,42,2,4,1,1,1,1,2,0,0,1,2,2,2,1,2,2,30,1,School,Medium
Low,51,17,1,5,2,1,0,0,1,2,2,14,0,0,2,1,4,1,25,1,Higher,High
Low,9,21,2,3,2,0,1,0,1,0,1,14,1,2,2,0,4,2,3,0,College,High
Low,23,60,4,1,0,0,1,0,0,0,2,12,5,2,2,0,0,1,35,1,Higher,Low
Low,9,60,4,3,0,0,1,0,2,1,0,24,1,2,2,1,1,1,37,1,School,Low
Low,40,52,1,6,1,0,1,1,0,2,1,5,4,1,0,1,1,2,32,1,College,Medium
Medium,30,25,2,6,1,0,1,0,0,0,0,17,3,1,2,0,2,0,30,1,School,Medium
Low,12,39,3,6,2,2,1,1,0,0,2,8,2,0,1,0,1,1,26,1,Higher,High
Low,2,7,2,4,2,1,0,0,1,0,2,7,6,1,2,1,1,2,1,0,Higher,High
Low,58,20,4,3,0,0,1,0,0,0,0,13,5,0,1,1,0,0,23,1,School,Low
Low,49,42,4,0,2,1,0,0,2,2,0,1,6,2,1,1,1,0,31,1,School,High
High,51,20,0,4,0,0,0,0,1,1,2,14,1,2,0,1,1,2,34,1,Higher,Low
High,33,2,4,2,1,2,0,1,1,1,0,28,3,0,2,1,1,1,24,1,School,Medium
High,48,30,0,3,1,2,1,0,1,0,1,21,4,0,0,1,3,2,40,1,College,Medium
Low,27,26,4,5,2,0,1,1,2,2,1,14,0,0,2,1,1,1,15,0,College,High
High,18,26,4,1,0,0,1,1,0,2,1,17,2,2,2,1,3,0,31,1,College,Low
Medium,22,56,3,3,2,1,1,0,0,0,0,6,5,1,0,0,0,1,39,1,School,High
High,44,32,0,1,2,0,1,0,1,2,0,25,0,2,0,0,1,2,32,1,School,High
High,31,43,0,6,0,1,0,1,1,0,2,11,2,0,1,1,4,2,46,2,Higher,Low
High,12,42,4,6,2,1,1,0,0,1,1,27,1,2,1,1,3,0,40,1,College,High
High,32,30,0,0,0,2,0,0,2,1,2,6,3,2,1,0,1,2,33,1,Higher,Low
High,33,64,4,2,0,0,1,1,1,1,0,2,4,2,0,1,4,1,53,3,School,Low
Medium,32,16,4,5,2,2,1,0,1,0,1,5,2,1,2,0,2,2,23,1,College,High
Medium,55,14,2,4,0,2,0,0,2,0,0,2,1,1,1,1,3,2,27,1,School,Low
Low,4,33,0,4,1,1,0,0,1,1,2,3,5,2,0,0,0,2,15,0,Higher,Medium
High,55,3,1,2,1,0,1,1,2,0,2,16,4,2,1,0,2,1,28,1,Higher,Medium
Medium,2,27,0,0,1,0,1,1,0,2,0,15,2,0,2,0,4,1,14,0,School,Medium
Low,59,1,0,0,1,1,0,1,0,1,0,0,6,2,0,1,3,0,12,0,School,Medium
Medium,6,16,3,6,2,1,1,0,1,2,1,1,1,1,0,1,3,1,13,0,College,High
Low,23,57,1,3,1,1,1,0,0,2,0,0,4,1,2,1,1,2,36,1,School,Medium
Low,21,8,1,0,1,0,1,1,2,0,0,26,0,2,0,1,2,2,7,0,School,Medium
Medium,44,30,3,3,1,1,1,0,1,0,2,18,6,1,0,0,1,1,36,1,Higher,Medium
Low,22,65,3,1,1,1,1,1,2,1,0,3,3,1,0,0,0,1,35,1,School,Medium
Low,29,61,0,2,2,2,1,1,0,0,0,5,3,1,1,1,2,0,35,1,School,High
High,59,18,2,1,1,1,0,0,0,0,1,14,5,2,2,0,3,1,42,2,College,Medium
Medium,17,54,3,1,0,1,1,1,0,2,2,11,6,0,1,1,4,0,37,1,Higher,Low
Medium,31,27,1,1,0,0,0,0,1,0,0,7,6,1,2,0,0,0,28,1,School,Low
Medium,55,49,1,1,2,1,1,0,2,1,2,13,5,0,0,1,1,1,45,2,Higher,High
Low,52,64,0,4,2,0,0,0,1,0,0,14,0,2,2,1,1,0,43,2,School,High
High,6,2,2,0,2,2,1,1,0,1,2,25,3,0,0,0,0,0,6,0,Higher,High
Low,32,51,4,2,1,2,0,0,0,2,0,26,3,0,0,0,2,2,30,1,School,Medium
Low,4,9,3,2,2,0,0,0,1,2,1,14,2,0,2,1,0,2,1,0,College,High
High,48,20,3,5,1,1,1,0,2,2,0,3,1,2,0,0,2,2,43,2,School,Medium
Low,27,36,0,1,2,0,0,0,0,1,1,15,0,2,1,0,0,1,24,1,College,High
High,7,14,2,2,0,1,0,1,2,2,1,16,5,2,2,1,0,2,22,1,College,Low
Medium,14,8,1,6,0,1,1,1,0,2,0,13,1,2,2,1,3,0,16,0,School,Low
Medium,51,43,1,3,1,0,1,0,1,0,1,15,3,1,2,1,2,2,37,1,College,Medium
Low,3,38,4,2,2,0,0,0,0,1,0,23,1,2,0,1,0,2,15,0,School,High
Low,33,4,1,6,0,0,1,1,1,2,2,17,4,0,1,1,1,1,11,0,Higher,Low
High,4,24,3,1,1,0,0,0,1,0,0,27,0,0,2,1,1,1,21,1,School,Medium
Low,32,55,4,2,0,1,1,0,1,0,1,11,0,2,0,1,2,1,37,1,College,Low
High,56,63,2,0,2,0,0,1,0,2,1,12,6,1,1,1,0,1,51,3,College,High
Medium,4,51,4,1,1,2,0,1,2,1,2,13,6,1,0,1,2,2,29,1,Higher,Medium
Low,37,8,2,4,0,0,0,0,2,2,0,26,0,2,0,1,0,0,15,0,School,Low
Low,33,9,1,6,2,2,0,1,0,0,2,10,2,1,1,0,3,0,16,0,Higher,High
High,57,9,0,0,1,2,1,1,1,1,1,10,1,0,0,0,4,2,30,1,College,Medium
Low,25,61,4,2,0,1,0,0,2,0,0,5,1,1,1,0,1,0,38,1,School,Low
High,0,59,4,4,0,0,1,0,2,2,1,0,5,1,2,1,2,0,38,1,College,Low
Low,3,18,3,5,1,0,1,1,0,1,0,14,2,2,2,0,1,2,3,0,School,Medium
High,38,37,3,0,2,0,0,0,1,2,2,20,0,0,1,1,0,1,36,1,Higher,High
High,53,5,2,5,1,1,0,0,2,2,2,7,2,1,0,1,1,2,34,1,Higher,Medium
High,25,14,0,3,0,0,0,1,0,2,1,7,2,1,2,0,0,1,26,1,College,Low
High,32,46,3,0,0,1,0,0,0,0,2,18,3,0,1,1,2,0,48,2,Higher,Low
High,32,44,3,4,0,0,1,1,1,1,2,22,0,1,1,1,4,1,43,2,Higher,Low
Low,7,4,1,5,2,0,0,1,0,1,1,12,5,0,0,1,3,1,0,0,College,High
High,19,52,1,3,0,0,0,0,1,0,1,26,4,1,0,1,3,0,46,2,College,Low
High,15,65,3,5,0,2,1,1,2,1,1,13,5,2,2,1,1,1,48,2,College,Low
High,20,61,2,2,1,2,1,0,0,1,0,14,3,1,2,0,2,0,46,2,School,Medium
Low,44,22,0,1,0,0,0,0,2,2,1,3,0,1,2,0,2,0,27,1,College,Low
High,54,43,3,5,1,1,0,0,1,2,0,19,6,1,0,0,3,2,53,3,School,Medium
Medium,55,51,2,2,0,1,0,0,1,0,0,12,0,0,2,0,0,2,53,3,School,Low
High,25,45,2,1,1,1,0,1,1,1,0,8,0,0,1,0,3,2,35,1,School,Medium
Low,22,18,3,1,1,2,0,0,0,0,1,16,1,2,1,0,1,0,5,0,College,Medium
Low,17,46,2,4,1,0,0,1,0,0,0,28,0,2,2,0,3,1,17,0,School,Medium
High,30,51,4,6,1,2,0,0,0,0,2,26,0,2,0,0,0,1,47,2,Higher,Medium
Medium,51,23,2,3,2,0,0,0,2,0,1,28,4,2,2,0,1,2,33,1,College,High
Medium,41,16,3,6,0,0,0,1,2,2,1,8,0,2,1,1,0,2,24,1,College,Low
High,11,45,2,3,2,0,0,1,0,0,0,1,2,0,2,1,4,2,32,1,School,High
Medium,0,63,3,0,0,2,1,0,2,1,2,21,0,2,1,0,1,0,35,1,Higher,Low
High,41,27,1,2,1,0,1,1,1,2,2,26,0,1,0,1,0,0,33,1,Higher,Medium
Medium,8,49,3,4,0,0,0,1,0,2,0,9,5,2,1,1,3,2,23,1,School,Low
Medium,2,63,2,5,1,2,0,1,1,0,1,6,0,2,2,1,4,0,34,1,College,Medium
Low,59,27,3,2,0,0,0,0,1,2,2,14,6,2,0,0,0,2,37,1,Higher,Low
Medium,50,55,0,5,1,0,0,0,1,2,1,14,1,2,0,0,3,1,48,2,College,Medium
Medium,25,58,3,6,0,0,0,0,2,2,0,26,3,0,0,1,4,0,43,2,School,Low
Low,8,4,3,5,0,2,1,1,1,2,0,14,1,2,2,1,2,0,7,0,School,Low
Medium,41,53,0,6,0,0,0,0,2,2,0,19,4,0,1,1,2,0,43,2,School,Low
High,50,43,0,6,1,0,1,0,1,2,0,0,5,2,2,1,4,0,43,2,School,Medium
High,15,41,0,5,0,1,0,1,0,1,2,0,5,0,1,0,0,1,42,2,Higher,Low
Low,23,56,4,0,1,1,0,0,1,2,1,25,4,2,0,1,0,1,27,1,College,Medium
Low,49,46,3,6,2,1,0,0,1,2,1,20,2,1,1,0,1,0,44,2,College,High
Low,13,24,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,1,14,0,School,Low
High,2,43,0,4,1,2,0,1,2,2,2,3,4,0,0,0,0,2,35,1,Higher,Medium
High,33,14,1,0,1,1,0,1,0,2,2,28,3,2,0,0,2,1,26,1,Higher,Medium
Low,32,50,4,4,1,2,0,0,1,0,2,22,5,0,0,0,2,2,28,1,Higher,Medium
Medium,49,52,3,0,2,1,0,0,1,1,0,3,3,0,2,0,0,0,43,2,School,High
Low,23,33,2,3,1,1,1,1,2,1,1,15,4,0,1,0,3,2,23,1,College,Medium
Low,8,7,4,4,2,2,0,1,1,2,1,14,0,1,2,1,2,2,0,0,College,High
High,12,69,4,3,2,1,0,1,1,1,1,17,1,2,0,1,0,1,46,2,College,High
Low,1,20,1,6,1,2,0,0,2,1,0,7,1,1,1,1,2,0,14,0,School,Medium
Medium,6,6,3,3,0,0,0,0,2,1,0,16,0,1,1,1,0,1,12,0,School,Low
High,47,55,3,4,2,0,0,1,2,1,2,5,3,2,1,1,4,1,53,3,Higher,High
Low,20,48,0,2,1,2,1,1,2,2,0,0,1,1,2,1,2,0,24,1,School,Medium
Medium,18,41,0,6,2,2,0,0,1,2,2,14,1,1,1,0,0,0,32,1,Higher,High
Low,24,22,4,6,1,0,1,1,2,0,0,14,2,0,1,1,2,1,15,0,School,Medium
High,46,51,1,1,1,2,1,0,2,2,2,18,6,0,1,0,3,1,45,2,Higher,Medium
Medium,21,52,3,0,2,0,0,1,1,2,2,2,3,2,1,1,4,2,33,1,Higher,High
Low,10,15,1,5,1,0,1,0,2,1,0,1,4,2,0,1,0,2,5,0,School,Medium
Medium,32,36,2,0,2,0,0,1,1,1,1,26,4,1,1,0,4,1,28,1,College,High
Medium,31,17,3,5,1,1,1,0,2,2,0,1,0,2,0,1,0,1,27,1,School,Medium
Medium,20,19,0,2,0,2,0,1,2,2,0,0,6,2,1,0,4,1,19,0,School,Low
Low,38,45,4,1,0,0,1,0,0,1,0,14,1,0,1,1,4,1,35,1,School,Low
Low,19,1,1,2,2,1,0,0,1,2,1,19,4,1,2,0,1,1,11,0,College,High
Low,7,62,0,1,2,1,1,0,2,2,0,3,6,0,2,1,0,0,34,1,School,High
Medium,41,2,4,4,2,0,1,1,0,1,1,2,0,0,2,1,2,1,18,0,College,High
High,36,45,0,4,2,0,0,0,0,1,0,7,6,0,1,1,2,1,40,1,School,High
Low,8,48,3,5,0,1,1,0,1,0,2,11,2,1,0,0,2,2,28,1,Higher,Low
High,24,0,1,3,2,2,1,0,0,2,0,29,3,1,2,1,4,0,20,0,School,High
Low,24,21,2,3,1,0,1,1,1,1,1,3,1,1,2,0,3,2,15,0,College,Medium
High,32,13,0,5,1,1,1,1,0,1,2,13,6,0,1,0,2,1,32,1,Higher,Medium
Low,1,44,1,4,2,0,0,1,1,2,1,9,1,2,2,1,4,1,22,1,College,High
High,18,5,3,5,1,2,1,0,2,2,1,17,0,1,1,0,2,1,22,1,College,Medium
Low,45,64,0,3,2,2,0,1,1,1,1,18,1,2,0,0,1,1,43,2,College,High
High,19,20,3,5,1,2,0,0,0,2,2,6,3,0,1,1,4,1,26,1,Higher,Medium
Low,41,3,2,4,1,1,1,1,1,0,1,12,4,1,0,0,0,0,21,1,College,Medium
Medium,40,2,2,2,2,2,1,1,2,1,0,14,0,2,0,1,4,0,21,1,School,High
Low,41,29,4,0,2,0,0,1,2,1,1,25,3,1,1,0,1,0,23,1,College,High
High,28,30,4,4,0,2,0,0,0,2,1,14,1,0,1,1,0,0,38,1,College,Low
Low,5,33,4,5,2,0,0,0,0,1,0,22,4,1,0,1,2,0,15,0,School,High
High,16,19,3,4,0,2,1,1,0,2,1,1,3,0,2,0,4,2,24,1,College,Low
High,59,53,4,4,2,1,1,1,2,0,2,7,4,0,1,1,1,2,55,3,Higher,High
High,24,24,1,3,1,0,1,0,2,0,0,25,4,2,1,1,0,0,23,1,School,Medium
Low,37,14,3,5,0,2,0,0,0,0,2,21,0,0,1,1,3,1,23,1,Higher,Low
High,3,37,3,3,1,2,1,0,2,1,1,22,6,0,0,1,4,1,23,1,College,Medium
Low,29,22,4,5,2,0,0,0,2,0,0,20,6,1,2,1,4,1,18,0,School,High
High,19,51,4,3,2,0,0,1,0,2,0,10,1,0,1,1,2,0,35,1,School,High
Low,2,65,3,3,2,1,0,1,2,2,0,1,2,0,1,1,3,0,26,1,School,High
High,22,56,2,2,2,2,0,1,0,0,2,11,2,0,2,0,2,1,40,1,Higher,High
High,50,56,2,4,0,2,0,0,2,0,0,4,2,0,0,0,3,2,53,3,School,Low
Low,17,51,4,2,0,2,1,0,1,2,0,21,6,2,1,1,0,2,23,1,School,Low
Low,25,34,2,3,2,2,0,1,1,0,0,16,3,1,1,1,0,2,26,1,School,High
Medium,55,13,1,2,1,0,1,1,2,0,2,0,2,1,0,1,4,2,22,1,Higher,Medium
High,35,13,1,6,0,2,0,1,2,0,2,11,6,0,1,0,4,1,41,2,Higher,Low
High,7,32,1,6,1,2,1,1,1,2,1,4,5,2,0,0,0,2,26,1,College,Medium
High,16,51,3,4,2,2,1,1,0,2,2,0,5,2,2,1,3,0,40,1,Higher,High
High,30,0,3,4,0,1,0,0,0,0,2,2,1,0,2,0,2,0,25,1,Higher,Low
Medium,36,33,3,3,0,1,1,1,1,2,0,27,6,0,0,1,0,0,37,1,School,Low
High,44,18,3,4,0,1,1,0,0,0,0,25,2,1,0,1,0,2,35,1,School,Low
Low,56,23,3,2,1,0,0,0,0,0,0,3,6,1,0,1,1,0,31,1,School,Medium
Low,32,3,4,1,2,0,0,0,1,0,2,8,4,1,2,1,4,0,4,0,Higher,High
High,26,35,2,4,2,0,0,1,1,1,2,14,6,1,2,0,3,0,39,1,Higher,High
High,44,57,4,2,0,2,1,0,2,1,0,17,5,0,1,0,2,0,55,3,School,Low
Medium,3,31,2,6,0,2,1,1,1,0,1,11,4,0,0,0,1,1,24,1,College,Low
High,21,8,4,6,2,0,1,1,1,1,1,19,4,1,0,0,1,2,21,1,College,High
High,25,66,1,2,1,1,0,0,0,0,0,14,6,1,1,0,0,2,50,2,School,Medium
High,31,19,0,6,0,0,1,1,0,1,2,2,2,0,1,1,4,2,41,2,Higher,Low
Low,23,61,3,2,1,0,0,0,2,0,1,20,1,1,2,1,0,1,38,1,College,Medium
High,45,57,0,4,1,2,0,1,0,1,1,14,1,0,1,0,1,2,52,3,College,Medium
High,34,21,0,1,2,0,1,1,0,2,0,20,2,1,1,1,1,1,27,1,School,High
Low,36,66,1,3,2,1,1,0,0,2,1,7,1,0,0,0,2,0,41,2,College,High
Low,31,47,0,3,1,0,0,0,1,1,0,14,5,2,1,1,0,1,26,1,School,Medium
High,6,7,0,4,1,1,0,1,0,0,0,14,2,0,0,0,0,2,18,0,School,Medium
Medium,32,14,1,4,2,0,1,0,1,1,1,15,1,2,0,0,3,1,18,0,College,High
Low,30,31,2,6,0,0,0,0,0,1,2,20,0,2,0,0,2,1,29,1,Higher,Low
High,54,52,4,0,1,2,0,1,1,2,0,28,0,1,1,1,4,0,47,2,School,Medium
High,11,66,0,5,0,2,1,0,0,2,0,11,1,2,1,1,0,1,50,2,School,Low
Low,10,3,3,1,1,2,0,0,2,2,0,2,4,1,0,1,0,1,0,0,School,Medium
Low,23,29,1,2,2,0,1,1,2,1,0,6,5,2,2,1,4,1,12,0,School,High
High,7,12,0,5,0,0,1,0,2,2,2,22,0,2,2,1,2,1,21,1,Higher,Low
Medium,31,20,2,2,2,1,1,1,0,2,1,0,5,1,0,0,0,2,21,1,College,High
High,56,40,2,5,1,2,0,0,2,2,1,9,6,0,2,1,4,0,48,2,College,Medium
Low,37,18,3,3,2,0,1,1,1,0,1,17,3,1,1,0,3,1,18,0,College,High
Medium,59,47,0,5,0,0,1,0,2,0,1,14,5,2,0,1,0,0,52,3,College,Low
Low,21,62,3,4,2,2,1,1,2,1,1,19,2,1,1,1,4,0,27,1,College,High
Low,33,19,2,1,0,0,1,1,2,2,0,25,3,1,2,1,1,2,23,1,School,Low
Medium,18,63,2,3,2,1,1,1,2,1,1,11,1,2,2,0,0,1,44,2,College,High
Low,51,36,4,6,2,1,1,0,1,1,1,29,1,2,1,1,3,1,36,1,College,High
Medium,19,30,2,5,0,2,0,1,2,2,1,28,6,2,2,1,4,2,29,1,College,Low
